,count,unique,top,freq,mean,std,min,25%,50%,75%,max
customer_id,10000,10000,CUST09984,1,,,,,,,
age,10000.0,,,,48.7984,17.903223452244557,18.0,34.0,49.0,64.0,79.0
gender,10000,2,Male,5014,,,,,,,
region,10000,4,South,2542,,,,,,,
contract_type,10000,3,Month-to-Month,6026,,,,,,,
tenure_months,10000.0,,,,36.1446,20.5725937596925,1.0,18.0,36.0,54.0,71.0
monthly_charges,10000.0,,,,70.13257699999998,28.827475796280705,20.02,45.2375,69.77,95.145,119.99
total_charges,10000.0,,,,2554.2133630000003,1869.100922460252,25.6,1045.46,2126.035,3711.965,8476.73
internet_service,10000,3,DSL,4010,,,,,,,
phone_service,10000,2,Yes,8000,,,,,,,
multiple_lines,10000,3,No,4061,,,,,,,
payment_method,10000,4,Electronic check,4022,,,,,,,
churn,10000.0,,,,0.3633,0.48097426503335816,0.0,0.0,0.0,1.0,1.0
target_label,10000,2,No churn,6367,,,,,,,
